-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  23.6186   Longitude 69.8854 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 28.58 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,0.0
2015,7,1,5,0.0
2015,7,1,6,33.88
2015,7,1,7,102.36
2015,7,1,8,181.86
2015,7,1,9,305.23
2015,7,1,10,366.16
2015,7,1,11,334.75
2015,7,1,12,294.8
2015,7,1,13,303.88
2015,7,1,14,234.46
2015,7,1,15,239.95
2015,7,1,16,155.59
2015,7,1,17,88.52
2015,7,1,18,15.02
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,0.0
2015,7,2,6,33.31
2015,7,2,7,97.0
2015,7,2,8,193.2
2015,7,2,9,280.43
2015,7,2,10,336.4
2015,7,2,11,247.34
2015,7,2,12,300.54
2015,7,2,13,300.81
2015,7,2,14,282.73
2015,7,2,15,246.52
2015,7,2,16,174.52
2015,7,2,17,98.54
2015,7,2,18,10.67
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,0.0
2015,7,3,6,35.39
2015,7,3,7,81.77
2015,7,3,8,175.49
2015,7,3,9,298.77
2015,7,3,10,303.38
2015,7,3,11,384.2
2015,7,3,12,390.8
2015,7,3,13,414.96
2015,7,3,14,367.99
2015,7,3,15,346.15
2015,7,3,16,259.34
2015,7,3,17,154.82
2015,7,3,18,17.68
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,0.0
2015,7,4,6,36.88
2015,7,4,7,82.2
2015,7,4,8,145.24
2015,7,4,9,191.7
2015,7,4,10,278.62
2015,7,4,11,230.62
2015,7,4,12,329.15
2015,7,4,13,297.73
2015,7,4,14,363.48
2015,7,4,15,296.41
2015,7,4,16,218.05
2015,7,4,17,124.18
2015,7,4,18,14.34
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,0.0
