-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  22.7252   Longitude 71.6464 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 42.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,0.0
2015,7,1,5,3.45
2015,7,1,6,45.23
2015,7,1,7,110.06
2015,7,1,8,187.07
2015,7,1,9,367.69
2015,7,1,10,523.87
2015,7,1,11,531.19
2015,7,1,12,574.65
2015,7,1,13,554.69
2015,7,1,14,474.11
2015,7,1,15,401.88
2015,7,1,16,308.75
2015,7,1,17,182.92
2015,7,1,18,22.27
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,2.66
2015,7,2,6,44.03
2015,7,2,7,144.27
2015,7,2,8,233.32
2015,7,2,9,333.92
2015,7,2,10,299.29
2015,7,2,11,542.81
2015,7,2,12,439.48
2015,7,2,13,429.36
2015,7,2,14,389.88
2015,7,2,15,331.98
2015,7,2,16,225.17
2015,7,2,17,114.03
2015,7,2,18,19.59
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,1.82
2015,7,3,6,44.15
2015,7,3,7,123.06
2015,7,3,8,137.67
2015,7,3,9,249.77
2015,7,3,10,330.73
2015,7,3,11,412.81
2015,7,3,12,475.32
2015,7,3,13,478.79
2015,7,3,14,445.92
2015,7,3,15,457.64
2015,7,3,16,379.74
2015,7,3,17,279.77
2015,7,3,18,26.41
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,1.57
2015,7,4,6,48.77
2015,7,4,7,129.75
2015,7,4,8,138.57
2015,7,4,9,282.85
2015,7,4,10,319.27
2015,7,4,11,258.3
2015,7,4,12,470.65
2015,7,4,13,437.59
2015,7,4,14,496.47
2015,7,4,15,434.72
2015,7,4,16,331.22
2015,7,4,17,203.26
2015,7,4,18,27.55
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,3.63
