-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  23.8526   Longitude 72.1323 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 69.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,0.0
2015,7,1,5,15.35
2015,7,1,6,45.34
2015,7,1,7,72.85
2015,7,1,8,141.29
2015,7,1,9,200.49
2015,7,1,10,334.56
2015,7,1,11,348.86
2015,7,1,12,435.78
2015,7,1,13,360.95
2015,7,1,14,309.52
2015,7,1,15,328.2
2015,7,1,16,274.0
2015,7,1,17,138.39
2015,7,1,18,20.74
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,13.55
2015,7,2,6,43.89
2015,7,2,7,85.86
2015,7,2,8,127.03
2015,7,2,9,239.3
2015,7,2,10,245.27
2015,7,2,11,368.23
2015,7,2,12,369.77
2015,7,2,13,304.28
2015,7,2,14,340.29
2015,7,2,15,255.16
2015,7,2,16,161.76
2015,7,2,17,81.45
2015,7,2,18,19.15
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,12.77
2015,7,3,6,38.07
2015,7,3,7,62.87
2015,7,3,8,100.3
2015,7,3,9,148.06
2015,7,3,10,209.88
2015,7,3,11,331.84
2015,7,3,12,517.66
2015,7,3,13,567.98
2015,7,3,14,413.62
2015,7,3,15,439.62
2015,7,3,16,295.77
2015,7,3,17,176.19
2015,7,3,18,22.94
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,12.33
2015,7,4,6,52.02
2015,7,4,7,78.85
2015,7,4,8,153.91
2015,7,4,9,238.62
2015,7,4,10,328.32
2015,7,4,11,248.62
2015,7,4,12,520.96
2015,7,4,13,413.18
2015,7,4,14,556.97
2015,7,4,15,472.45
2015,7,4,16,336.61
2015,7,4,17,194.52
2015,7,4,18,26.48
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,11.85
