-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  16.8248   Longitude 75.7145 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 544.04 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,0.0
2015,7,1,5,12.29
2015,7,1,6,94.68
2015,7,1,7,186.8
2015,7,1,8,189.62
2015,7,1,9,148.95
2015,7,1,10,127.39
2015,7,1,11,175.13
2015,7,1,12,203.6
2015,7,1,13,263.67
2015,7,1,14,260.0
2015,7,1,15,169.6
2015,7,1,16,151.21
2015,7,1,17,74.42
2015,7,1,18,27.66
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,12.96
2015,7,2,6,71.34
2015,7,2,7,195.18
2015,7,2,8,291.0
2015,7,2,9,444.25
2015,7,2,10,387.44
2015,7,2,11,444.71
2015,7,2,12,402.88
2015,7,2,13,419.73
2015,7,2,14,257.52
2015,7,2,15,301.1
2015,7,2,16,294.97
2015,7,2,17,162.01
2015,7,2,18,30.53
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,11.48
2015,7,3,6,86.4
2015,7,3,7,323.31
2015,7,3,8,325.45
2015,7,3,9,373.76
2015,7,3,10,450.15
2015,7,3,11,519.3
2015,7,3,12,479.19
2015,7,3,13,389.67
2015,7,3,14,354.82
2015,7,3,15,362.86
2015,7,3,16,301.67
2015,7,3,17,102.2
2015,7,3,18,29.27
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,11.05
2015,7,4,6,82.79
2015,7,4,7,306.41
2015,7,4,8,355.21
2015,7,4,9,372.28
2015,7,4,10,386.63
2015,7,4,11,430.72
2015,7,4,12,405.1
2015,7,4,13,502.66
2015,7,4,14,487.2
2015,7,4,15,348.4
2015,7,4,16,366.9
2015,7,4,17,188.94
2015,7,4,18,30.38
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,10.6
