-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  27.955   Longitude 73.3198 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,0.0
2015,7,1,5,47.95
2015,7,1,6,51.01
2015,7,1,7,108.27
2015,7,1,8,220.06
2015,7,1,9,340.02
2015,7,1,10,399.37
2015,7,1,11,407.38
2015,7,1,12,331.61
2015,7,1,13,463.18
2015,7,1,14,425.68
2015,7,1,15,344.67
2015,7,1,16,142.31
2015,7,1,17,95.54
2015,7,1,18,16.56
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,48.54
2015,7,2,6,70.98
2015,7,2,7,149.83
2015,7,2,8,230.69
2015,7,2,9,332.09
2015,7,2,10,298.53
2015,7,2,11,309.79
2015,7,2,12,395.84
2015,7,2,13,289.0
2015,7,2,14,312.07
2015,7,2,15,237.88
2015,7,2,16,182.09
2015,7,2,17,133.42
2015,7,2,18,20.41
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,48.13
2015,7,3,6,96.77
2015,7,3,7,216.96
2015,7,3,8,377.38
2015,7,3,9,480.34
2015,7,3,10,483.73
2015,7,3,11,522.04
2015,7,3,12,427.27
2015,7,3,13,370.16
2015,7,3,14,319.0
2015,7,3,15,306.14
2015,7,3,16,178.02
2015,7,3,17,119.65
2015,7,3,18,16.98
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,48.23
2015,7,4,6,79.88
2015,7,4,7,195.51
2015,7,4,8,309.23
2015,7,4,9,398.64
2015,7,4,10,431.38
2015,7,4,11,443.44
2015,7,4,12,692.05
2015,7,4,13,655.03
2015,7,4,14,603.94
2015,7,4,15,525.73
2015,7,4,16,397.88
2015,7,4,17,228.1
2015,7,4,18,26.55
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,48.86
