-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  14.6819   Longitude 77.5985 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 447.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,0.0
2015,7,1,5,32.41
2015,7,1,6,170.35
2015,7,1,7,324.14
2015,7,1,8,321.56
2015,7,1,9,329.27
2015,7,1,10,334.02
2015,7,1,11,266.62
2015,7,1,12,292.22
2015,7,1,13,237.09
2015,7,1,14,186.75
2015,7,1,15,151.7
2015,7,1,16,138.5
2015,7,1,17,46.43
2015,7,1,18,18.1
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,31.34
2015,7,2,6,52.12
2015,7,2,7,81.96
2015,7,2,8,175.21
2015,7,2,9,336.61
2015,7,2,10,354.91
2015,7,2,11,183.73
2015,7,2,12,167.03
2015,7,2,13,185.02
2015,7,2,14,232.9
2015,7,2,15,163.26
2015,7,2,16,110.52
2015,7,2,17,42.43
2015,7,2,18,17.19
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,31.04
2015,7,3,6,135.08
2015,7,3,7,224.39
2015,7,3,8,240.62
2015,7,3,9,343.48
2015,7,3,10,294.84
2015,7,3,11,279.9
2015,7,3,12,351.41
2015,7,3,13,310.38
2015,7,3,14,271.34
2015,7,3,15,197.66
2015,7,3,16,150.55
2015,7,3,17,49.05
2015,7,3,18,16.39
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,28.28
2015,7,4,6,101.82
2015,7,4,7,173.23
2015,7,4,8,222.84
2015,7,4,9,276.88
2015,7,4,10,295.09
2015,7,4,11,391.56
2015,7,4,12,491.47
2015,7,4,13,524.91
2015,7,4,14,383.84
2015,7,4,15,405.42
2015,7,4,16,347.26
2015,7,4,17,232.95
2015,7,4,18,17.75
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,28.73
