-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  24.5442   Longitude 81.3016 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 329.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,412.66
2015,7,1,5,6.66
2015,7,1,6,97.19
2015,7,1,7,159.19
2015,7,1,8,222.93
2015,7,1,9,242.85
2015,7,1,10,297.6
2015,7,1,11,335.3
2015,7,1,12,336.7
2015,7,1,13,349.55
2015,7,1,14,280.77
2015,7,1,15,234.83
2015,7,1,16,118.94
2015,7,1,17,40.87
2015,7,1,18,1.97
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,8.23
2015,7,2,6,138.77
2015,7,2,7,272.02
2015,7,2,8,472.84
2015,7,2,9,551.09
2015,7,2,10,537.7
2015,7,2,11,306.25
2015,7,2,12,427.2
2015,7,2,13,378.23
2015,7,2,14,194.87
2015,7,2,15,106.12
2015,7,2,16,68.85
2015,7,2,17,33.84
2015,7,2,18,2.08
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,7.12
2015,7,3,6,108.2
2015,7,3,7,231.73
2015,7,3,8,456.44
2015,7,3,9,564.45
2015,7,3,10,606.37
2015,7,3,11,654.9
2015,7,3,12,600.52
2015,7,3,13,529.61
2015,7,3,14,415.8
2015,7,3,15,341.67
2015,7,3,16,260.76
2015,7,3,17,85.74
2015,7,3,18,2.14
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,10.8
2015,7,4,6,161.41
2015,7,4,7,325.79
2015,7,4,8,527.52
2015,7,4,9,575.21
2015,7,4,10,619.57
2015,7,4,11,599.27
2015,7,4,12,516.87
2015,7,4,13,433.17
2015,7,4,14,398.05
2015,7,4,15,329.71
2015,7,4,16,237.77
2015,7,4,17,99.52
2015,7,4,18,2.16
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,9.73
