-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  25.7417   Longitude 71.4019 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 148.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,0.0
2015,7,1,5,15.01
2015,7,1,6,46.85
2015,7,1,7,81.64
2015,7,1,8,148.88
2015,7,1,9,238.62
2015,7,1,10,323.03
2015,7,1,11,261.66
2015,7,1,12,370.33
2015,7,1,13,358.96
2015,7,1,14,300.36
2015,7,1,15,226.55
2015,7,1,16,143.08
2015,7,1,17,115.02
2015,7,1,18,12.1
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,13.13
2015,7,2,6,41.61
2015,7,2,7,75.38
2015,7,2,8,110.95
2015,7,2,9,158.27
2015,7,2,10,165.98
2015,7,2,11,323.08
2015,7,2,12,300.12
2015,7,2,13,266.98
2015,7,2,14,239.86
2015,7,2,15,228.74
2015,7,2,16,120.77
2015,7,2,17,72.1
2015,7,2,18,11.7
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,12.66
2015,7,3,6,38.12
2015,7,3,7,64.76
2015,7,3,8,120.9
2015,7,3,9,184.15
2015,7,3,10,286.38
2015,7,3,11,385.1
2015,7,3,12,375.42
2015,7,3,13,368.75
2015,7,3,14,313.09
2015,7,3,15,253.38
2015,7,3,16,157.66
2015,7,3,17,86.44
2015,7,3,18,11.88
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,12.2
2015,7,4,6,40.12
2015,7,4,7,64.77
2015,7,4,8,118.16
2015,7,4,9,283.02
2015,7,4,10,309.99
2015,7,4,11,326.84
2015,7,4,12,429.58
2015,7,4,13,437.58
2015,7,4,14,406.22
2015,7,4,15,352.48
2015,7,4,16,249.85
2015,7,4,17,141.25
2015,7,4,18,15.12
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,11.69
