-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  15.8314   Longitude 78.036 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 347.3 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,0.0
2015,7,1,5,49.13
2015,7,1,6,85.58
2015,7,1,7,169.06
2015,7,1,8,219.98
2015,7,1,9,229.81
2015,7,1,10,272.6
2015,7,1,11,210.1
2015,7,1,12,268.73
2015,7,1,13,266.45
2015,7,1,14,183.91
2015,7,1,15,160.93
2015,7,1,16,122.23
2015,7,1,17,57.52
2015,7,1,18,0.0
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,50.41
2015,7,2,6,74.27
2015,7,2,7,161.73
2015,7,2,8,152.45
2015,7,2,9,155.81
2015,7,2,10,237.19
2015,7,2,11,222.5
2015,7,2,12,263.97
2015,7,2,13,288.02
2015,7,2,14,316.94
2015,7,2,15,284.18
2015,7,2,16,213.4
2015,7,2,17,52.25
2015,7,2,18,0.0
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,48.09
2015,7,3,6,53.08
2015,7,3,7,146.34
2015,7,3,8,199.84
2015,7,3,9,373.66
2015,7,3,10,327.55
2015,7,3,11,342.48
2015,7,3,12,191.62
2015,7,3,13,165.46
2015,7,3,14,158.83
2015,7,3,15,101.7
2015,7,3,16,66.78
2015,7,3,17,36.87
2015,7,3,18,0.0
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,47.42
2015,7,4,6,103.38
2015,7,4,7,265.71
2015,7,4,8,401.88
2015,7,4,9,453.12
2015,7,4,10,450.66
2015,7,4,11,506.13
2015,7,4,12,500.71
2015,7,4,13,499.45
2015,7,4,14,415.91
2015,7,4,15,359.17
2015,7,4,16,255.16
2015,7,4,17,103.62
2015,7,4,18,0.0
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,46.16
