-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  17.3408   Longitude 76.841 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 521.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,0.0
2015,7,1,5,37.27
2015,7,1,6,145.77
2015,7,1,7,348.08
2015,7,1,8,320.37
2015,7,1,9,230.73
2015,7,1,10,241.14
2015,7,1,11,266.45
2015,7,1,12,266.58
2015,7,1,13,254.55
2015,7,1,14,330.63
2015,7,1,15,309.09
2015,7,1,16,209.09
2015,7,1,17,100.98
2015,7,1,18,17.91
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,35.55
2015,7,2,6,56.83
2015,7,2,7,173.54
2015,7,2,8,253.37
2015,7,2,9,345.11
2015,7,2,10,309.01
2015,7,2,11,516.62
2015,7,2,12,295.72
2015,7,2,13,296.73
2015,7,2,14,263.48
2015,7,2,15,167.1
2015,7,2,16,87.77
2015,7,2,17,51.21
2015,7,2,18,17.45
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,34.5
2015,7,3,6,91.95
2015,7,3,7,423.08
2015,7,3,8,456.8
2015,7,3,9,537.8
2015,7,3,10,545.38
2015,7,3,11,619.99
2015,7,3,12,602.35
2015,7,3,13,501.71
2015,7,3,14,371.07
2015,7,3,15,212.39
2015,7,3,16,130.95
2015,7,3,17,56.88
2015,7,3,18,17.87
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,33.4
2015,7,4,6,85.18
2015,7,4,7,288.86
2015,7,4,8,416.39
2015,7,4,9,524.82
2015,7,4,10,564.62
2015,7,4,11,689.2
2015,7,4,12,689.29
2015,7,4,13,671.5
2015,7,4,14,535.81
2015,7,4,15,407.03
2015,7,4,16,320.69
2015,7,4,17,108.94
2015,7,4,18,18.21
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,32.25
