-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  17.6591   Longitude 75.9062 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 496.51 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,0.0
2015,7,1,5,19.59
2015,7,1,6,119.41
2015,7,1,7,337.8
2015,7,1,8,349.99
2015,7,1,9,368.73
2015,7,1,10,236.42
2015,7,1,11,254.93
2015,7,1,12,222.17
2015,7,1,13,245.64
2015,7,1,14,237.61
2015,7,1,15,215.24
2015,7,1,16,190.59
2015,7,1,17,119.32
2015,7,1,18,36.24
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,19.03
2015,7,2,6,97.09
2015,7,2,7,327.39
2015,7,2,8,417.14
2015,7,2,9,547.54
2015,7,2,10,530.08
2015,7,2,11,624.07
2015,7,2,12,477.66
2015,7,2,13,386.2
2015,7,2,14,371.86
2015,7,2,15,303.27
2015,7,2,16,278.73
2015,7,2,17,118.42
2015,7,2,18,35.84
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,16.53
2015,7,3,6,86.06
2015,7,3,7,281.27
2015,7,3,8,437.77
2015,7,3,9,534.05
2015,7,3,10,448.48
2015,7,3,11,585.17
2015,7,3,12,584.99
2015,7,3,13,529.5
2015,7,3,14,413.39
2015,7,3,15,229.62
2015,7,3,16,134.82
2015,7,3,17,69.59
2015,7,3,18,35.41
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,14.89
2015,7,4,6,91.75
2015,7,4,7,305.52
2015,7,4,8,416.89
2015,7,4,9,478.77
2015,7,4,10,423.84
2015,7,4,11,622.4
2015,7,4,12,624.2
2015,7,4,13,611.17
2015,7,4,14,514.74
2015,7,4,15,412.3
2015,7,4,16,326.02
2015,7,4,17,147.77
2015,7,4,18,36.37
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,13.18
