-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  24.5073   Longitude 74.736 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 453.09 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,0.0
2015,7,1,5,48.45
2015,7,1,6,61.62
2015,7,1,7,177.15
2015,7,1,8,236.9
2015,7,1,9,337.64
2015,7,1,10,438.59
2015,7,1,11,442.01
2015,7,1,12,356.89
2015,7,1,13,517.9
2015,7,1,14,524.94
2015,7,1,15,419.79
2015,7,1,16,299.11
2015,7,1,17,201.14
2015,7,1,18,36.14
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,48.55
2015,7,2,6,59.74
2015,7,2,7,162.77
2015,7,2,8,245.39
2015,7,2,9,413.56
2015,7,2,10,423.33
2015,7,2,11,436.72
2015,7,2,12,463.54
2015,7,2,13,397.51
2015,7,2,14,379.38
2015,7,2,15,281.16
2015,7,2,16,181.05
2015,7,2,17,97.34
2015,7,2,18,33.86
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,48.32
2015,7,3,6,53.48
2015,7,3,7,112.3
2015,7,3,8,145.66
2015,7,3,9,197.34
2015,7,3,10,260.7
2015,7,3,11,473.11
2015,7,3,12,361.33
2015,7,3,13,309.66
2015,7,3,14,264.55
2015,7,3,15,305.85
2015,7,3,16,201.4
2015,7,3,17,144.02
2015,7,3,18,35.45
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,47.52
2015,7,4,6,84.7
2015,7,4,7,195.99
2015,7,4,8,298.15
2015,7,4,9,426.2
2015,7,4,10,453.37
2015,7,4,11,595.55
2015,7,4,12,542.67
2015,7,4,13,524.71
2015,7,4,14,556.43
2015,7,4,15,480.24
2015,7,4,16,351.2
2015,7,4,17,187.02
2015,7,4,18,36.73
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,46.7
