-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  21.1526   Longitude 79.0872 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 282.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,9,1,0.0
2015,7,9,2,0.0
2015,7,9,3,0.0
2015,7,9,4,0.0
2015,7,9,5,33.73
2015,7,9,6,44.11
2015,7,9,7,47.62
2015,7,9,8,77.0
2015,7,9,9,89.84
2015,7,9,10,70.14
2015,7,9,11,128.5
2015,7,9,12,89.88
2015,7,9,13,73.7
2015,7,9,14,56.77
2015,7,9,15,34.67
2015,7,9,16,26.63
2015,7,9,17,29.6
2015,7,9,18,6.94
2015,7,9,19,0.0
2015,7,9,20,0.0
2015,7,9,21,0.0
2015,7,9,22,0.0
2015,7,9,23,0.0
2015,7,10,0,0.0
2015,7,10,1,0.0
2015,7,10,2,0.0
2015,7,10,3,0.0
2015,7,10,4,0.0
2015,7,10,5,33.87
2015,7,10,6,31.38
2015,7,10,7,31.34
2015,7,10,8,39.16
2015,7,10,9,48.05
2015,7,10,10,52.34
2015,7,10,11,55.77
2015,7,10,12,70.31
2015,7,10,13,55.74
2015,7,10,14,59.41
2015,7,10,15,32.41
2015,7,10,16,25.23
2015,7,10,17,29.26
2015,7,10,18,6.8
2015,7,10,19,0.0
2015,7,10,20,0.0
2015,7,10,21,0.0
2015,7,10,22,0.0
2015,7,10,23,0.0
2015,7,11,0,0.0
2015,7,11,1,0.0
2015,7,11,2,0.0
2015,7,11,3,0.0
2015,7,11,4,0.0
2015,7,11,5,34.34
2015,7,11,6,33.3
2015,7,11,7,55.98
2015,7,11,8,103.81
2015,7,11,9,90.15
2015,7,11,10,59.41
2015,7,11,11,91.71
2015,7,11,12,84.55
2015,7,11,13,67.09
2015,7,11,14,60.95
2015,7,11,15,46.19
2015,7,11,16,41.15
2015,7,11,17,32.45
2015,7,11,18,6.61
2015,7,11,19,0.0
2015,7,11,20,0.0
2015,7,11,21,0.0
2015,7,11,22,0.0
2015,7,11,23,0.0
2015,7,12,0,0.0
2015,7,12,1,0.0
2015,7,12,2,0.0
2015,7,12,3,0.0
2015,7,12,4,0.0
2015,7,12,5,35.82
2015,7,12,6,94.67
2015,7,12,7,206.1
2015,7,12,8,291.26
2015,7,12,9,311.7
2015,7,12,10,286.59
2015,7,12,11,235.61
2015,7,12,12,210.67
2015,7,12,13,225.08
2015,7,12,14,124.59
2015,7,12,15,93.5
2015,7,12,16,37.8
2015,7,12,17,30.55
2015,7,12,18,6.39
2015,7,12,19,0.0
2015,7,12,20,0.0
2015,7,12,21,0.0
2015,7,12,22,0.0
2015,7,12,23,0.0
2015,7,13,0,0.0
2015,7,13,1,0.0
2015,7,13,2,0.0
2015,7,13,3,0.0
2015,7,13,4,0.0
