-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  16.7452   Longitude 77.9855 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 436.21 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,0.0
2015,7,1,5,43.84
2015,7,1,6,100.08
2015,7,1,7,198.72
2015,7,1,8,243.67
2015,7,1,9,230.8
2015,7,1,10,215.77
2015,7,1,11,221.9
2015,7,1,12,299.45
2015,7,1,13,231.37
2015,7,1,14,219.23
2015,7,1,15,224.34
2015,7,1,16,199.33
2015,7,1,17,103.09
2015,7,1,18,4.16
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,42.45
2015,7,2,6,51.62
2015,7,2,7,83.39
2015,7,2,8,107.66
2015,7,2,9,156.98
2015,7,2,10,180.12
2015,7,2,11,256.88
2015,7,2,12,329.98
2015,7,2,13,396.05
2015,7,2,14,436.14
2015,7,2,15,280.27
2015,7,2,16,190.55
2015,7,2,17,80.59
2015,7,2,18,4.39
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,42.29
2015,7,3,6,119.36
2015,7,3,7,347.59
2015,7,3,8,490.06
2015,7,3,9,594.18
2015,7,3,10,472.89
2015,7,3,11,609.38
2015,7,3,12,468.07
2015,7,3,13,322.96
2015,7,3,14,204.82
2015,7,3,15,145.97
2015,7,3,16,98.84
2015,7,3,17,42.98
2015,7,3,18,4.59
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,41.47
2015,7,4,6,122.29
2015,7,4,7,311.69
2015,7,4,8,499.72
2015,7,4,9,601.71
2015,7,4,10,614.03
2015,7,4,11,702.16
2015,7,4,12,693.64
2015,7,4,13,679.59
2015,7,4,14,614.13
2015,7,4,15,505.81
2015,7,4,16,373.92
2015,7,4,17,146.24
2015,7,4,18,4.75
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,40.62
